Bank Name,Location,Date,Abbrev,Decision,Amount,Paid,Box Number,Page Number,Line,Bank_Confidence,Loc_Confidence,Line,County,County Text
Commercial National Bank,"Santa Ana, California",12/4/33,PSS-276,approved,"$100,000.00",PAID,Box_Test,10,1,1,1,"12/4/33 - PSS-276 - approved - $100,000.00 PAID 8-1-43
",0,
Bank of Lewisport,"Lewisport, Ky","June 23, 1932",LA-4749,Loan approved,"$12,500.00",PAID,Box_Test,2,3,0,1,"Loan approved - June 23, 1932 - $12,500.00 - LA-4749 PAID
",0,
Bank of Lewisport,"Lewisport, Ky","July 28, 1932",LA-6324,Loan approved,"$12,000.00",PAID,Box_Test,2,4,0,1,"Loan approved - July 28, 1932 - $12,000.00 - LA-6324 PAID
",0,
Bank of Lewisport,"Lewisport, Ky","Oct. 29, 1932",LA-8761,Loan approved,"$7,500.00",PAID,Box_Test,2,5,0,1,"Loan approved - Oct. 29, 1932 - $7,500.00 - LA-8761PAID
",0,
Bank of Lewisport,"Lewisport, Ky","Feb. 22, 1933",R-3361,Ren. approved,"$6,480.20",PAID,Box_Test,2,6,0,1,"Ren. approved - Feb. 22, 1933 - $6,480.20 - R-3361 PAID
",0,
Bank of Lewisport,"Lewisport, Ky","July 24, 1933",R-5260,Ren. approved,"$ 4,448.30",PAID,Box_Test,2,7,0,1,"Ren. approved - July 24, 1933 - $ 4,448.30 - R-5260 PAID
",0,
Burlington County National Bank,"Medford, New Jersey",9 /28/34,CPSS-4204,approved,"$ 50,000.00",,Box_Test,3,2,1,1,"9 /28/34 - CPSS-4204 - approved - $ 50,000.00
",1,"Burlington County National Bank - Medford, New Jersey
"
Burlington County National Bank,"Medford, New Jersey",10/8/34,PSS-3750,approved,"$50,000.00",,Box_Test,3,3,1,1,"10/8/34 - PSS-3750 - approved - $50,000.00
",1,"Burlington County National Bank - Medford, New Jersey
"
Burlington County National Bank,"Medford, New Jersey",2 / 8/35,PSSA-3423,rescinds,"$ 50,000.00",,Box_Test,3,4,1,1,"2 / 8/35 - PSSA-3423 - rescinds - $ 50,000.00
",1,"Burlington County National Bank - Medford, New Jersey
"
Commercial State Bank,"Goodman, Mississippi","Apr. 8, 1932",LA-1364,Loan approved,"$16,000.00",PAID,Box_Test,11,4,1,1,"Loan approved - Apr. 8, 1932 - $16,000.00 - LA-1364PAID
",0,
Commercial State Bank,"Goodman, Mississippi","Oct, 22, 1932",R-498,"Ren, approved","$15,899.85",PAID,Box_Test,11,5,1,1,"Ren, approved - Oct, 22, 1932 - $15,899.85 - R-498 PAID
",0,
Commercial State Bank,"Goodman, Mississippi","Mar. 9, 1933",R-3542,Ren. approved,"$15,524.12",PAID,Box_Test,11,6,1,1,"Ren. approved - Mar. 9, 1933 - $15,524.12 - R-3542 PAID
",0,
Commercial State Bank,"Goodman, Mississippi","Sept.25, 1933",R-5975,Ren. approved,"$14,908.31",PAID,Box_Test,11,7,1,1,"Ren. approved - Sept.25, 1933 - $14,908.31 - R-5975 PAID
",0,
Empire National Bank,"Clarksburg, W. Va","Aug. 9, 1932",LA-6744,Loan approved,"$200,000.00",PAID,Box_Test,13,2,1,0,"Loan approved - Aug. 9, 1932 - $200,000.00 - LA-6744 PAID
",0,
Bank of Leipsic Company,"Leipsic, Ohio",5/21/41,DP-1638,approved,"$100,000.00",PAID,Box_Test,1,3,1,1,"1 / 4/34 - DP-1638 - approved - $100,000.00 PAID 5/21/41
",0,
Erin Bank & Trust Company,"Erin, Tennessee",4/10/41,PSS-1257,approved,"$12,500.00",PAID,Box_Test,12,1,0,1,"1 / 3/34 - PSS-1257 - approved - $12,500.00 PAID 4/10/41
",0,
First National Bank,"Audubon, Iowa","Jan. 11, 1933",LA-10423,Loan approved,"$41,000.00",PAID,Box_Test,16,2,1,1,"Loan approved - Jan. 11, 1933 - $41,000.00 - LA-10423 PAID
",0,
Burlington County Trust Company,"Moorestown, New Jersey","Apr. 1, 1932",LA-1009,Loan approved,"$400,000.00",PAID,Box_Test,4,3,1,1,"Loan approved - Apr. 1, 1932 - $400,000.00 - LA-1009 - (Loan 1) PAID
",1,"Burlington County Trust Company - Moorestown, New Jersey
"
Burlington County Trust Company,"Moorestown, New Jersey","Nov. 11, 1932",R-868,Ren. approved,"$363,000.00",PAID,Box_Test,4,4,1,1,"Ren. approved - Nov. 11, 1932 - $363,000.00 - R-868 - (B.1-L.).IPPAID
",1,"Burlington County Trust Company - Moorestown, New Jersey
"
Burlington Savings Bank,"Burlington, Iowa","Apr. 15, 1933",LA-1713,Loan approved,"$140,000.00",PAID,Box_Test,5,3,1,1,"Loan approved - Apr. 15, 1933 - $140,000.00 - LA-1713 - (Loan 1) PAID
",0,
Burlington Savings Bank,"Burlington, Iowa","June 30, 1932",LA-5109,Loan approved,"$65,000.00",PAID,Box_Test,5,4,1,1,"Loan approved - June 30, 1932 - $65,000.00 - LA-5109 - (Loan 2) PAID
",0,
Burlington Savings Bank,"Burlington, Iowa","Aug. 6, 1932",LA-6679,Loan approved,"$80,000.00",PAID,Box_Test,5,5,1,1,"Loan approved - Aug. 6, 1932 - $80,000.00 - LA-6679 - (Loan 3) PAID
",0,
Burlington Savings Bank,"Burlington, Iowa","Sep. 15, 1932",LA-7932,Loan approved,"$200,000.00",PAID,Box_Test,5,6,1,1,"Loan approved - Sep. 15, 1932 - $200,000.00 - LA-7932 - (Loan 4) PAID
",0,
Burlington Savings Bank,"Burlington, Iowa","Oct. 21, 1932",R-460,Ren. approved,"$131,600.00",PAID,Box_Test,5,7,1,1,"Ren. approved - Oct. 21, 1932 - $131,600.00 - R-460 - (R. 1-L.1) PAID
",0,
First National Bank,"Cambridge, Minn.",3/7/32,LA-265,approved,"$36,000.00",PAID,Box_Test,17,1,1,1,"3/7/32 - LA-265 approved - $36,000.00 PAID
",0,
First National Bank,"Cambridge, Minn.",7/26/32,LA-6219,approved,"$10,000.00",PAID,Box_Test,17,2,1,1,"7/26/32 - LA-6219 approved - $10,000.00 PAID
",0,
