Text,Type
LA-17609,Abbrev
LA-14768,Abbrev
LA-1697,Abbrev
PSS-879,Abbrev
CSP-133,Abbrev
CDP-2355,Abbrev
CDPA-304,Abbrev
LA-6602,Abbrev
LA-2787,Abbrev
LA-3220,Abbrev
LA-3529,Abbrev
LA-7716,Abbrev
LAA-1941,Abbrev
LA-5769,Abbrev
DP-222,Abbrev
CNP-149,Abbrev
LA-3196,Abbrev
LA-4078,Abbrev
LA-10065,Abbrev
LA-21609,Abbrev
PSS-545,Abbrev
DP-536,Abbrev
LA-6936,Abbrev
LA-10967,Abbrev
LA-15702,Abbrev
DP-2395,Abbrev
LA-19275,Abbrev
PSS-2326,Abbrev
LA-6395,Abbrev
LAA-1012,Abbrev
R-2215,Abbrev
R-5299,Abbrev
R-6943,Abbrev
LAA-644,Abrrev
"$100,000.00",Amount
"$25,000.00",Amount
"$10,000.00",Amount
"$425,000.00",Amount
"$1,236,000.00",Amount
"$200,000.00",Amount
"$8,750.00",Amount
"$16,000.00",Amount
"$125,000.00",Amount
"$75,000.00",Amount
"$115,000.00",Amount
"$124,700.00",Amount
"$21,000.00",Amount
"$140,000.00",Amount
"$63,000.00",Amount
"$80,000.00",Amount
"$32,000.00",Amount
"$60,000.00",Amount
"$13,000.00",Amount
"$20,000.00",Amount
"$659,116.89",Amount
"$16,500.00",Amount
"$15,000.00",Amount
"$365,000.00",Amount
"$345,000.00",Amount
"$249,935.00",Amount
"$178,730.00",Amount
"$142,830.00",Amount
Cherryville National Bank,Bank
Chesapeake Banking Company,Bank
Chesapeake and Ohio Railway,Bank
Cheshire County Savings Bank,Bank
Chesnee Cash Depository,Bank
Chester Building & Loan Assn,Bank
Chester County Trust Company,Bank
Cheyenne County State Bank,Bank
Chicago Lake State Bank,Bank
Chinese-American Bank,Bank
Chippewa Trust Company,Bank
Chisago State Bank,Bank
Dahl's House Company,Bank
Chouteau Mortgage Company,Bank
Chouteau Trust Company,Bank
Citizens Bank,Bank
Chester Savings Bank,Bank
Chester State Bank,Bank
Chester Trust Company,Bank
Chester-Cambridge Bank & Trust Company,Bank
"Apr. 18, 1932",Date
"Dec. 9, 1932",Date
"July 2, 1934",Date
12/28/33,Date
12.29.47,Date
"July 11, 1933",Date
6/1/44,Date
"March 31, 1932",Date
12/31/33,Date
5 / 5/34,Date
"Aug. 4, 1932",Date
"May 7, 1932",Date
"May 17, 1932",Date
"May 24, 1932",Date
"Sep. 7, 1932",Date
12/6/32,Date
"Jan. 6, 1933",Date
"July 15, 1932",Date
12/14/33,Date
4/21/41,Date
1/5/35,Date
1/30/35,Date
1 /10/34,Date
2 /10/34,Date
9.16.47,Date
"May 16, 1932",Date
8/6/35,Date
"June 7, 1932",Date
"Dec. 28, 1932",Date
"Mar. 9, 1936",Date
9/5/36,Date
12/18/33,Date
2-14-49,Date
12/23/33,Date
3-16-46,Date
"Aug. 12, 1932",Date
"Feb. 3, 1933",Date
"Jan. 20, 1934",Date
1 /26/34,Date
8/23/38,Date
"Jan. 22, 1935",Date
7/18/35,Date
2 /23/34,Date
3-15-46,Date
"July 29, 1932",Date
8/2/32,Date
"Jan. 10, 1933",Date
"July 26, 1933",Date
"Apr. 10, 1934",Date
Loan approved,Decision
Ren. approved,Decision
Originally approved,Decision
approved,Decision
Railroad Loan - DECLINED,Decision
rescinds,Decision
B & L Loan approved,Decision
INCREASED,Decision
declined,Decision
Mort. Loan approved,Decision
DLB. approved,Decision
DECREASED,Decision
"Cherryville, North Carolina",Location
"Lively, Virginia",Location
Che sapeake Beach Railway Company,Location
"Keene, New Hampshire",Location
"Chesnee, South Carolina",Location
"Chester, Conn.",Location
"West Chester, Pennsylvania",Location
"Cheyenne Wells, Colo.",Location
"Minneapolis, Minnesota",Location
"Honolulu, Territory of Hawaii",Location
"Saint Louis, Missouri",Location
"Chisago City, Minnesota",Location
"Minneapolis, Minn.",Location
"Clovis, New Mexico",Location
"Hutchinson, Minnesota",Location
"Mount Olive, N. C.",Location
"Chester, Vermont",Location
"Chester, Nebraska",Location
"Chester, Connecticut",Location
"Chester, Pennsylvania",Location
DOCKET REC'D,Other
1-2-2003,Other
s,Other
(Loan 1),Other
(R.1-L.1),Other
(Loan 2),Other
as Conservator.,Other
DOCKET RECOD,Other
NSB,Other
I,Other
(RR),Other
Docket Received,Other
