DOCKET REO'D 53.94512939453125
Citizens Bank - Clermont, Fla. 97.57575225830078
6/23/32 - LA-4788 approved $15,000 (Loan 1) PAID 98.73983001708984
8/23/32 - LA-7358 approved $15,000 (Loan 2) PAID 98.78401184082031
1/7/33 - R-2136 approved $12,224.64 (R.1-L.1) PAID 93.27478790283203
4/18/33 - R-3995 approved $11,129.64 (R.2-L.1) PAID 97.83336639404297
4/18/33 - R-3996 approved $15,000 (R.1-L.2) PAID 96.67713928222656
9/11/33 - R-5846 approved $10,430.64 (R.3-L.1) PAD 93.15943908691406
9/11/33 - R-5847 approved $15,000 (R.2-L.2) PAID 98.87142944335938
12/16/33 - PSS- declined $15,000 96.75747680664062
8/24/34 coste PSS-3568 approved $12,500 A Pain 6-15.49 80.86551666259766
4/11/34 - R-6979 approved $9,491.64 (R.4-L.1) 96.07512664794922
5/28/34 - canceled $9,491.64 98.22762298583984
8/24/34 - PSL-997 approved $10,000 PAID 6/9/41 98.9447021484375
11/1/37 - PSL-R-68 approved $99,959.93 91.58779907226562
RFC copy cannot be processed for transmittal to National Archives 99.7946548461914
