DOCKETRECD 43.16047286987305
Citizens Bank - Monrovia, Calif. 91.65876770019531
2/29/32 - LA-118 approved $100,000 (Loan 1) PAID 99.05625915527344
6/7/32 - LA-4052 approved $25,000 (Loan 2) PAID 97.71190643310547
7/21/32 - LA-6007 approved $25,000 (Loan 3) PAID 96.42876434326172
11/17/32 - R-1023 approved $63,367.51 (R.1L.1) PAID 87.80940246582031
12/1/32 - LA-9478 approved $30,000 (Loan 4) PAID 98.00147247314453
12/3/32 am R-1382 approved $10,673.62 (R.1-Le2) PAID 79.76245880126953
1/18/33 - R-2453 approved $77,533.72(1 2-L.1&2) PAID 87.81248474121094
3/14/33 - LA-12008 approved $32,500 (Loan 5) PAID 98.31660461425781
6/5/33 - BK declined $25,000 (Loan 6) 98.69053649902344
7/6/33 - R-4933 approved $79,093.87 (R.3-L.l&2) PAID 90.49290466308594
11/2/33 - R-6238 approved $30,087.69 (R.1-L.5) PAID 88.7301254272461
12/18/34 - PSS-3985 approved $50,000 A PAID 3/25/41 95.50455474853516
8/9/45 - BPA-20 - Approved - (BE Section) 98.57038879394531
