File,Line,Begin Offset,End Offset,Type
small_file_1.txt,0,0,19,DECISION
small_file_1.txt,0,22,35,DATE
small_file_1.txt,0,38,49,AMOUNT
small_file_1.txt,0,52,60,ABBREV
small_file_1.txt,0,71,75,PAID DATE
small_file_1.txt,0,76,84,PAID DATE
small_file_10.txt,0,0,13,DECISION
small_file_10.txt,0,16,29,DATE
small_file_10.txt,0,32,43,AMOUNT
small_file_10.txt,0,46,53,ABBREV
small_file_100.txt,0,0,13,DECISION
small_file_100.txt,0,16,28,DATE
small_file_100.txt,0,31,42,AMOUNT
small_file_100.txt,0,45,52,ABBREV
small_file_101.txt,0,0,13,DECISION
small_file_101.txt,0,16,28,DATE
small_file_101.txt,0,31,42,AMOUNT
small_file_101.txt,0,45,52,ABBREV
small_file_102.txt,0,0,13,DECISION
small_file_102.txt,0,14,26,DATE
small_file_102.txt,0,27,38,AMOUNT
small_file_102.txt,0,39,46,ABBREV
small_file_103.txt,0,0,13,DECISION
small_file_103.txt,0,16,28,DATE
small_file_103.txt,0,31,42,AMOUNT
small_file_103.txt,0,45,52,ABBREV
small_file_104.txt,0,0,13,DECISION
small_file_104.txt,0,16,28,DATE
small_file_104.txt,0,31,42,AMOUNT
small_file_104.txt,0,45,52,ABBREV
small_file_105.txt,0,0,13,DECISION
small_file_105.txt,0,16,29,DATE
small_file_105.txt,0,32,43,AMOUNT
small_file_105.txt,0,46,52,ABBREV
small_file_106.txt,0,0,13,DECISION
small_file_106.txt,0,16,29,DATE
small_file_106.txt,0,32,43,AMOUNT
small_file_106.txt,0,46,52,ABBREV
small_file_107.txt,0,0,13,DECISION
small_file_107.txt,0,16,29,DATE
small_file_107.txt,0,32,43,AMOUNT
small_file_107.txt,0,46,52,ABBREV
small_file_108.txt,0,0,13,DECISION
small_file_108.txt,0,16,29,DATE
small_file_108.txt,0,32,42,AMOUNT
small_file_108.txt,0,46,53,ABBREV
small_file_109.txt,0,0,6,DATE
small_file_109.txt,0,7,16,ABBREV
small_file_109.txt,0,19,27,DECISION
small_file_109.txt,0,30,41,AMOUNT
small_file_11.txt,0,16,29,DATE
small_file_11.txt,0,32,43,AMOUNT
small_file_11.txt,0,46,54,ABBREV
small_file_110.txt,0,0,8,DATE
small_file_110.txt,0,11,19,ABBREV
small_file_110.txt,0,22,30,DECISION
small_file_110.txt,0,33,44,AMOUNT
small_file_111.txt,0,0,8,DATE
small_file_111.txt,0,11,20,ABBREV
small_file_111.txt,0,23,31,DECISION
small_file_111.txt,0,34,45,AMOUNT
small_file_112.txt,0,0,8,DATE
small_file_112.txt,0,11,18,ABBREV
small_file_112.txt,0,23,31,DECISION
small_file_112.txt,0,34,44,AMOUNT
small_file_113.txt,0,0,8,DATE
small_file_113.txt,0,11,18,ABBREV
small_file_113.txt,0,19,27,DECISION
small_file_113.txt,0,30,40,AMOUNT
small_file_114.txt,0,0,8,DATE
small_file_114.txt,0,11,19,ABBREV
small_file_114.txt,0,22,30,DECISION
small_file_114.txt,0,33,44,AMOUNT
small_file_115.txt,0,0,8,DATE
small_file_115.txt,0,11,19,ABBREV
small_file_115.txt,0,22,30,DECISION
small_file_115.txt,0,33,44,AMOUNT
small_file_116.txt,0,0,8,DATE
small_file_116.txt,0,11,18,ABBREV
small_file_116.txt,0,21,29,DECISION
small_file_116.txt,0,32,43,AMOUNT
small_file_117.txt,0,2,8,DATE
small_file_117.txt,0,11,18,ABBREV
small_file_117.txt,0,21,29,DECISION
small_file_117.txt,0,35,46,AMOUNT
small_file_118.txt,0,0,8,DATE
small_file_118.txt,0,11,19,ABBREV
small_file_118.txt,0,22,30,DECISION
small_file_118.txt,0,33,43,AMOUNT
small_file_119.txt,0,0,13,DECISION
small_file_119.txt,0,16,29,DATE
small_file_119.txt,0,32,42,AMOUNT
small_file_119.txt,0,45,50,ABBREV
small_file_12.txt,0,0,13,DECISION
small_file_12.txt,0,16,29,DATE
small_file_12.txt,0,32,43,AMOUNT
small_file_12.txt,0,46,54,ABBREV
small_file_12.txt,0,66,70,PAID DATE
