Type,Text
ABBREV,LA- 1838
ABBREV,R- 1482
ABBREV,LA-17609
ABBREV,CPSS-3270
ABBREV,PSS-2910
ABBREV,CSP-133
ABBREV,LA-2787
ABBREV,LA-3220
ABBREV,LA-3529
ABBREV,LA-7716
ABBREV,R -2090
ABBREV,R -2091
ABBREV,R-2215
ABBREV,R-5299
ABBREV,R-6943
ABBREV,LA-6395
ABBREV,CPSS-3876
ABBREV,PSS-3472
ABBREV,PSSA-2632
ABBREV,PSS-340
ABBREV,DP-1348
ABBREV,DPA-1135
ABBREV,CDP-3033
ABBREV,DP-2960
ABBREV,DP-2908
ABBREV,CDP-2981
ABBREV,R-615
ABBREV,R-824
ABBREV,LA-9828
ABBREV,LA 1350
ABBREV,LA 2693
ABBREV,CPSS-2853
ABBREV,CPSSA-315
ABBREV,CPSSA-352
ABBREV,PSS-2585
ABBREV,PSS
ABBREV,LA-5769
ABBREV,CPSS-4170
ABBREV,PSS-3687
ABBREV,CSP-41
ABBREV,CA-1005
ABBREV,CA4-650
ABBREV,CA-1056
ABBREV,CAA-678
ABBREV,CA-1105
ABBREV,CAA-791
ABBREV,LA-31444
ABBREV,LA-6618
ABBREV,CA-755
ABBREV,CAA-487
ABBREV,LA-4882
ABBREV,LA-6397
ABBREV,LA-9415
ABBREV,LA-18981
ABBREV,CA-759
ABBREV,CAA-456
ABBREV,SP-2
ABBREV,CSP-23
ABBREV,CSPA-21
ABBREV,CSP-56
ABBREV,CSPA-69
ABBREV,SP-19
ABBREV,LA-8342
ABBREV,LA-9840
ABBREV,LA-11327
ABBREV,LA-14170
ABBREV,LA-11638
ABBREV,LA-12367
ABBREV,CA-843
ABBREV,CSP-14
ABBREV,CSPA-17
ABBREV,CSP-66
ABBREV,SP-26
ABBREV,CSP-94
ABBREV,CSPA-118
ABBREV,SP-40
ABBREV,LA-4960
ABBREV,LA-10374
ABBREV,R -2352
ABBREV,LA-10545
ABBREV,LA-10751
ABBREV,R-4579
ABBREV,R -5408
ABBREV,CDP-3221
ABBREV,DP-3143
ABBREV,DP-1889
ABBREV,CPSS-1841
ABBREV,CPSSA-212
ABBREV,CPSS-2646
ABBREV,PSS-2133
ABBREV,R-2623
ABBREV,LA-13726
ABBREV,PSS-78
ABBREV,BPA-59
ABBREV,LA-689
ABBREV,LA-5819
ABBREV,R-155
ABBREV,R-26
ABBREV,LA-10338
ABBREV,LA-4078
ABBREV,LA-10065
ABBREV,LA-21609
ABBREV,LAA-18871
ABBREV,CPSS-3241
